"Leeftijdsklasse voertuig";"Perioden";"Totaal wegvoertuigen (aantal)";"Personenauto (aantal)";"Bedrijfsvoertuigen/Totaal bedrijfsvoertuigen (aantal)";"Bedrijfsvoertuigen/Bedrijfsmotorvoertuigen/Totaal bedrijfsmotorvoertuigen (aantal)";"Bedrijfsvoertuigen/Bedrijfsmotorvoertuigen/Bestelauto (aantal)";"Bedrijfsvoertuigen/Bedrijfsmotorvoertuigen/Vrachtauto (excl. trekker voor oplegger) (aantal)";"Bedrijfsvoertuigen/Bedrijfsmotorvoertuigen/Trekker voor oplegger (aantal)";"Bedrijfsvoertuigen/Bedrijfsmotorvoertuigen/Speciaal voertuig (aantal)";"Bedrijfsvoertuigen/Bedrijfsmotorvoertuigen/Bus (aantal)";"Bedrijfsvoertuigen/Aanhangwagens en opleggers/Totaal aanhangwagens en opleggers (aantal)";"Bedrijfsvoertuigen/Aanhangwagens en opleggers/Aanhangwagen (aantal)";"Bedrijfsvoertuigen/Aanhangwagens en opleggers/Oplegger (aantal)";"Motorfiets (aantal)"
"Totaal leeftijd";"2014";"10706674";" 7932290";" 2120393";" 1023614";"  815169";"   65046";"   71063";"   62414";"    9922";" 1096779";"  964889";"  131890";"  653991"
"Totaal leeftijd";"2015";"10757655";" 7979083";" 2126236";" 1019585";"  814954";"   63356";"   70533";"   61145";"    9597";" 1106651";"  970962";"  135689";"  652336"
"Totaal leeftijd";"2016";"10908581";" 8100864";" 2155173";" 1032819";"  828383";"   62436";"   72245";"   60344";"    9411";" 1122354";"  979377";"  142977";"  652544"
"Totaal leeftijd";"2017";"11076215";" 8222974";" 2197250";" 1058767";"  852632";"   62155";"   74218";"   59940";"    9822";" 1138483";"  989453";"  149030";"  655991"
"Totaal leeftijd";"2018";"11287017";" 8373244";" 2252134";" 1092291";"  883350";"   62581";"   77075";"   59371";"    9914";" 1159843";" 1002771";"  157072";"  661639"
"Jonger dan 1 jaar";"2014";"  504160";"  405807";"   89962";"   61944";"   49152";"    3064";"    7893";"    1243";"     592";"   28018";"   20046";"    7972";"    8391"
"Jonger dan 1 jaar";"2015";"  480663";"  379076";"   91991";"   60528";"   50340";"    2503";"    6187";"     846";"     652";"   31463";"   21511";"    9952";"    9596"
"Jonger dan 1 jaar";"2016";"  545049";"  429331";"  105084";"   69385";"   56306";"    3236";"    8376";"    1133";"     334";"   35699";"   23435";"   12264";"   10634"
"Jonger dan 1 jaar";"2017";"  500091";"  366968";"  121464";"   83868";"   68783";"    3996";"    8896";"    1363";"     830";"   37596";"   25487";"   12109";"   11659"
"Jonger dan 1 jaar";"2018";"  543805";"  402520";"  129596";"   86822";"   72280";"    3986";"    8401";"    1275";"     880";"   42774";"   28531";"   14243";"   11689"
"1 of 2 jaar";"2014";" 1287372";" 1065954";"  201351";"  136479";"  111900";"    7157";"   13833";"    2231";"    1358";"   64872";"   50273";"   14599";"   20067"
"1 of 2 jaar";"2015";" 1143545";"  938037";"  186994";"  128891";"  104086";"    6673";"   14667";"    2098";"    1367";"   58103";"   43013";"   15090";"   18514"
"1 of 2 jaar";"2016";" 1032087";"  829840";"  183306";"  123368";"  100775";"    5756";"   13677";"    1923";"    1237";"   59938";"   41640";"   18298";"   18941"
"1 of 2 jaar";"2017";" 1097166";"  877601";"  198427";"  131215";"  108332";"    5733";"   14252";"    1911";"     987";"   67212";"   45205";"   22007";"   21138"
"1 of 2 jaar";"2018";" 1133474";"  880492";"  229492";"  156304";"  128207";"    7227";"   17207";"    2479";"    1184";"   73188";"   49026";"   24162";"   23490"
"3 of 4 jaar";"2014";" 1041059";"  830319";"  182806";"  116009";"   93101";"    8580";"   10029";"    2495";"    1804";"   66797";"   55955";"   10842";"   27934"
"3 of 4 jaar";"2015";" 1228318";" 1012851";"  191647";"  124798";"  102514";"    7349";"   11376";"    2286";"    1273";"   66849";"   53993";"   12856";"   23820"
"3 of 4 jaar";"2016";" 1260642";" 1039545";"  199417";"  134628";"  110585";"    7168";"   13333";"    2226";"    1316";"   64789";"   50126";"   14663";"   21680"
"3 of 4 jaar";"2017";" 1136460";"  930304";"  185861";"  127318";"  103241";"    6686";"   13970";"    2112";"    1309";"   58543";"   42955";"   15588";"   20295"
"3 of 4 jaar";"2018";" 1052270";"  847219";"  183981";"  123877";"  101639";"    5788";"   13361";"    1882";"    1207";"   60104";"   41870";"   18234";"   21070"
"5 of 6 jaar";"2014";" 1185213";"  874899";"  269809";"  166538";"  134009";"   10534";"   16339";"    3526";"    2130";"  103271";"   78150";"   25121";"   40505"
"5 of 6 jaar";"2015";" 1056498";"  795373";"  224437";"  140907";"  111922";"   10509";"   13202";"    3202";"    2072";"   83530";"   66477";"   17053";"   36688"
"5 of 6 jaar";"2016";" 1039206";"  833683";"  175298";"  109138";"   87935";"    8261";"    8803";"    2491";"    1648";"   66160";"   55609";"   10551";"   30225"
"5 of 6 jaar";"2017";" 1229732";" 1018038";"  185584";"  119327";"   98615";"    7135";"   10050";"    2304";"    1223";"   66257";"   53819";"   12438";"   26110"
"5 of 6 jaar";"2018";" 1265760";" 1049386";"  192233";"  128328";"  106172";"    6935";"   11662";"    2317";"    1242";"   63905";"   49946";"   13959";"   24141"
"7 of 8 jaar";"2014";" 1168306";"  920572";"  207730";"  113012";"   90296";"    7717";"   10584";"    3162";"    1253";"   94718";"   78191";"   16527";"   40004"
"7 of 8 jaar";"2015";" 1176268";"  905593";"  228763";"  128944";"  103836";"    8622";"   11997";"    3116";"    1373";"   99819";"   79044";"   20775";"   41912"
"7 of 8 jaar";"2016";" 1170069";"  874606";"  252050";"  151744";"  124570";"    9500";"   12448";"    3366";"    1860";"  100306";"   77026";"   23280";"   43413"
"7 of 8 jaar";"2017";" 1065375";"  813637";"  212325";"  130541";"  106214";"    9455";"    9805";"    3141";"    1926";"   81784";"   65620";"   16164";"   39413"
"7 of 8 jaar";"2018";" 1063497";"  862739";"  168045";"  102785";"   84526";"    7561";"    6651";"    2489";"    1558";"   65260";"   55078";"   10182";"   32713"
"9 tot 12 jaar";"2014";" 1680678";" 1302540";"  310794";"  165708";"  144306";"    7163";"    5801";"    7354";"    1084";"  145086";"  128741";"   16345";"   67344"
"9 tot 12 jaar";"2015";" 1656533";" 1289715";"  300657";"  157367";"  137400";"    6688";"    6193";"    5892";"    1194";"  143290";"  124965";"   18325";"   66161"
"9 tot 12 jaar";"2016";" 1664983";" 1307849";"  292186";"  153251";"  130897";"    7948";"    8375";"    4863";"    1168";"  138935";"  118090";"   20845";"   64948"
"9 tot 12 jaar";"2017";" 1659395";" 1297870";"  296289";"  156098";"  131654";"    8942";"    9577";"    4321";"    1604";"  140191";"  115210";"   24981";"   65236"
"9 tot 12 jaar";"2018";" 1691961";" 1304104";"  320453";"  178921";"  150217";"   11039";"   11369";"    4422";"    1874";"  141532";"  113401";"   28131";"   67404"
"12 tot 15 jaar";"2014";" 1546645";" 1215222";"  257160";"  122871";"  102922";"    6916";"    3049";"    9393";"     591";"  134289";"  120101";"   14188";"   74263"
"12 tot 15 jaar";"2015";" 1506890";" 1179479";"  256938";"  120482";"  101433";"    6542";"    3065";"    8904";"     538";"  136456";"  122918";"   13538";"   70473"
"12 tot 15 jaar";"2016";" 1464777";" 1139787";"  257025";"  119139";"  101890";"    5722";"    3091";"    7818";"     618";"  137886";"  124797";"   13089";"   67965"
"12 tot 15 jaar";"2017";" 1485088";" 1151896";"  264820";"  126970";"  111674";"    4899";"    3053";"    6671";"     673";"  137850";"  123890";"   13960";"   68372"
"12 tot 15 jaar";"2018";" 1470304";" 1145629";"  256702";"  121257";"  107307";"    4549";"    3427";"    5294";"     680";"  135445";"  120195";"   15250";"   67973"
"15 tot 20 jaar";"2014";" 1191150";"  849002";"  237184";"   75496";"   54757";"    5566";"    1922";"   12814";"     437";"  161688";"  148452";"   13236";"  104964"
"15 tot 20 jaar";"2015";" 1376447";" 1006591";"  260924";"   92262";"   69929";"    5963";"    2094";"   13844";"     432";"  168662";"  154061";"   14601";"  108932"
"15 tot 20 jaar";"2016";" 1553934";" 1154823";"  286249";"  105064";"   81984";"    6307";"    2195";"   14059";"     519";"  181185";"  165406";"   15779";"  112862"
"15 tot 20 jaar";"2017";" 1660244";" 1242282";"  303429";"  111665";"   87956";"    6639";"    2445";"   14082";"     543";"  191764";"  175281";"   16483";"  114533"
"15 tot 20 jaar";"2018";" 1739797";" 1313885";"  312225";"  115885";"   92430";"    6641";"    2677";"   13586";"     551";"  196340";"  179763";"   16577";"  113687"
"20 tot 25 jaar";"2014";"  401900";"  156337";"  159409";"   25666";"   11744";"    3106";"     573";"   10073";"     170";"  133743";"  126834";"    6909";"   86154"
"20 tot 25 jaar";"2015";"  423780";"  174716";"  160116";"   25064";"   11105";"    2995";"     632";"   10152";"     180";"  135052";"  128334";"    6718";"   88948"
"20 tot 25 jaar";"2016";"  445118";"  195603";"  159237";"   25512";"   11083";"    2820";"     743";"   10665";"     201";"  133725";"  126832";"    6893";"   90278"
"20 tot 25 jaar";"2017";"  474049";"  223709";"  160122";"   27147";"   12827";"    2747";"     870";"   10485";"     218";"  132975";"  125485";"    7490";"   90218"
"20 tot 25 jaar";"2018";"  515568";"  257761";"  167372";"   30107";"   15904";"    2720";"     924";"   10318";"     241";"  137265";"  129402";"    7863";"   90435"
"25 jaar of ouder";"2014";"  700191";"  311638";"  204188";"   39891";"   22982";"    5243";"    1040";"   10123";"     503";"  164297";"  158146";"    6151";"  184365"
"25 jaar of ouder";"2015";"  708713";"  297652";"  223769";"   40342";"   22389";"    5512";"    1120";"   10805";"     516";"  183427";"  176646";"    6781";"  187292"
"25 jaar of ouder";"2016";"  732716";"  295797";"  245321";"   41590";"   22358";"    5718";"    1204";"   11800";"     510";"  203731";"  196416";"    7315";"  191598"
"25 jaar of ouder";"2017";"  768615";"  300669";"  268929";"   44618";"   23336";"    5923";"    1300";"   13550";"     509";"  224311";"  216501";"    7810";"  199017"
"25 jaar of ouder";"2018";"  810581";"  309509";"  292035";"   48005";"   24668";"    6135";"    1396";"   15309";"     497";"  244030";"  235559";"    8471";"  209037"
